?,1
שאלה כללית על מערכת ההגשה
מישהו יודע אם יש אפשרות להגיש קוד שמחולק לתיקיות?
למשל במקרה שלנו למקם את כל האלגוריתמים בתיקייה ייעודית?

כשאני מגיש כך - לא מקבל output בסאבמיט (ציון 0)
כשממקם מחדש את כל הקבצים בroot, כלומר ללא תיקיות - הקוד מתקבל בהצלחה (ציון 100 בהגשה),1
לעוד מישהו קרה, שאם משנים את האטא של הפרספטרון, השגיאה לא ממש משתנה?
רק אם מורידים מ0. משהו ל0.0 משהו? (מדברת על אלה שבדקו עם סיד, אחרת זה כנראה ישתנה),1
מה אמורים לכתוב בדוח שלהם?
איך בחרתי היפר פרמטרים- ניסוי וטעייה.. מה יש לפרט?,1
צריך לנרמל בשביל כולם או שאפשר לנרמל רק לחלק מהאלגוריתמים?,1
זה עדיין עדיף שלכולם תהיו אפשרות ללכת לתרגול השלמה ולא להגיע למצב ש2 קורסים עושים השלמה באותו זמן....,1
אפשר לבקש לעשות את
ההשלמה בשעות מחלקה של יום רביעי במקום שני? ביום שני של אותו
שבוע יש כבר השלמה של חישוביות,1
יש עדכון על הinit ? ערערנו קבוצתית ?,1
אפשר שזה ירוץ גם פחות מ5 דקות, כן??,1
ההבדל בין פרספטרון לpa הוא רק בעדכון המשקולות? כלומר גם בpa יש אפוקים וeta?,1
זה סתם דיפולט. אפשר באפסים ואפשר רנדומלית,1
מותר? הגדירו לנו 10-20 לא?,1
סבבה,1
לא?,1
100 זה עשר,0
אמרו לי שזה לא טוב שיש 0 ,0
לא, קיבלת 100 אז זה לא בסדר,0
כןן,0
מישהו ?,0
בטוח? כי לא כתוב את זה בשום מקום,0
כן,0
מישהו יודע אם חייב לנרמל?,0
תודהה,0
1/x_train.shape[0],0
מה עשיתם בz-score אם המכנה יצא 0?,0
זה בסדר,,0
אנשים פה בסוף השתמשו ב seed?,0
אחלה, אבדוק את זה.
תודה!,0
 <שמות הקבצים>,0
היא צריכה להפעיל ככה ולרוץ... לא משנה איך בנית,0
כמובן שבין שתי השיטות השונות מתאים את הקבצים עצמם מבחינת imports.
וגם שתי השיטות עובדות חלק בu2,0
לעוד מישהו נרמול הטסט לפי הפרמטרים של האימון פגע בדיוק?,0
לא משנה הסתדר,0
תודה רבה!,0
תודה,0
לא בהכרח נראה לי, לא נראה לי שיש טווח קבוע,0
תודה,0
קבצים של trainX trainY testX,0
מה אנחנו מקבלים כקלט?,0
איך בדקתם על השרתים ?,0
כנראה שהם מריצים עם דאטה שונה,0
וקורה משהו שלא טיפלת בו, איזה מקרה קצה,0
כמו חלוקה ב־0 או משהו,0
בu2 זה כן מדפיס וגומר את התוכנית..,0
התכנה כנראה קורסת איפשהו,0
תעשי הדפסות ותנסי למצוא איפה :),0
נראה שבכלל לא הדפסתן כלום .,0
מישהו יודע מה הבעייה?,0
מישהו הצליח להגיע לאחוזי הצלחה גבוהים? :),0
דניאלה קירשנבאום,0
מודה שאפילו לא בדקתי מה מקבל בלי נרמול..נראה לי תעשי מה שיוצא לך טוב העיקר שתסבירי למה כל עוד זה עובד,0
אבל אם נרמול משפר רק לחלק מהאלגוריתמים ולא לכולם?,0
מה שנותן תוצאה יותר טובה, אם אני לא טועה הם רמזו בפיאצה שתמיד כדאי לנרמל,0
התשמשתם בseed כדי שהשאפל יהיה זהה כל הזמן?,0
איך אפשר לשפר pa?,0
לא חושב שיש קשר,0
תודה,0
בנוסחת SVM הלמדה היא הערך העצמי של המטריצה? זה הכוונה (מבחינת החיפוש קוד מתאים),0
שלחנו להם על זה,0
נראה לי בתרגול הוא הראה שזה בין 0 ל1 ,0
לא,0
אה אז אין את זה בתרגולים?,0
מופיעה בתרגיל עצמו,0
איפה מוצאים את הפונקצית עדכון של הSVM ?,0
הנרמול של zscore צריך להיות בין 1- ל1?,0
לא הגיוני שנפסיד או סיבוכיות או למידת מכונה כשיש שעות מחלקה ריקות,0
אם הכל דטרמיניסטי וeta קבוע, ככל שמספר הepochs יעלה בהכרח אחוזי ההצלחה יעלו? (עד התכנסות),0
אני מדברת על התרגולים. לחלק יהיה תרגול ממש לפני ההשלמה ולחלק יהיה השלמה ואז תרגול יום אחרי. אז איזה תרגול הוא אמור להעביר?,0
גם ככה למי שיש הרצאה בחמישי, יש תרגול רק אחרי,0
זה יהיה בעייתי כי לחלק יהיה תרגול לפני ולחלק אחרי,0
zigi160,0
תודה רבה :),0
הקבוצות של חמישי,0
 תוכלו להעביר את שיעור ההשלמה ליום אחר?,0
מזה כל הביטולים האלה,0
יש משהו מיוחד?,0
יש שיעור השלמה לחישוביות?! לאיזה קבוצה?,0
הערכים שם הם הכל 0 ו m 
אתה יכול להדפיס אותם ישר אחרי קריאה ולודא שהןא קורא אותם נכון,0
אבל זה נופל על השיעור השלמה של חישוביות,0
כן,0
זה ביטול גם לפליקס וגם ליוסי?,0
Rivka Schuss,0
מישהו יודע מה הן שתי הנקודות  כשמגישים בסאבמיט? 
האלגוריתמים שלי מתייגים את הנקודות לא נכון..,0
מישהו הצליח להוריד את הPA?,0
This message was deleted,0
התרגיל הראשון,0
תגידו לעוד מישהו קרה שהכל היה בסדר אבל הציון במעשי היה ממש נמוך?,0
כתבו בפיאצה שמותר,0
אהה,0
אז לא יודע, מימשתי בעצמי ,0
מישהו שהשתמש ב zscore של scipy- מה צריך לשלוח לפונקציה בפרמטרים השני והשלישי?,0
לא נראלי שמותר להשתמש בזה,0
תודה,0
יש קובץ של validate?,0
ואם לא איך אתם בודקים אחוזי הצלחה?,0
אפשר להתייחס לכמות מסוימת מהtrain כvalidate,0
פשוט לקחת את ה20% נניח האחרונים של הדגימות מהקובץ train, לא להריץ עליהם את האלגוריתם אימון, ובמקום זה לבדוק עליהם את התוצאות שיצאו לך,0
כן,0
בעצם במקום לעשות חיבור/חיסור של טאו כפול איקס
עשיתי 
טאו כפול איקס כפול אטה,0
מכפילה במה? את טאו באטא?,0
אין לי שמץ,0
כשאני לא מכפילה באטה אחוז ההצלחה זה בערך 50%, כשמכפילה באטה זה משתפר ל-65%,0
מה הסיבה?,0
תצטרכי להסביר למה זה נכון אבל,0
מותר ב-PA להוסיף סקלר כמו אטה של פרספטרון? בלי אטה זה רע ועם אטה זה משתפר ממש,0
ל-65% הצלחה ב-PA,0
לא,0
צריך רק את הex2, פרטים וpdf,0
האם מגישים גם את הקבצים train_x ו-train_y?,0
This message was deleted,0
This message was deleted,0
This message was deleted,0
This message was deleted,0
This message was deleted,0
ברור..,0
יש מישהו שזה קרה לו??,0
תודה!!,0
הוא קורס..תעשי הדפסות כל שלב ותראי איפה, גם לנו קרה,0
מוזר.. בדקנו ריצה בu2 וזה רץ,0
ויש פלט ריק,0
רואים,0
מי שהגיש בsubmit, אתם רואים פלט את התוכנית שלכם או שזה ריק?,0
אז ההבדל הוא רק בעדכון הw? שבpa הוא ע״י טאו?,0
במקום אטה?,0
כלומר יש איפוק
ויש טאו הזה שזה לפי הלוס?,0
ומה זה הלמדא שם? d,0
ג,0
בpa יש מקדם למידה שנמדד לפי פונקציית הלוס,0
בכולם יש אפוקים,0
Eta גם בכולם
כי זה קשור לSGD,0
כן ברור,0
הם איתחלו אותו באפסים...,0
לא הולידיישן סט,0
לעצמי בשביל לבדוק את הפרדיקציות אז חילקתי את הדאטא 70-30 כש30 לטובת קבוצת מבחן. מתוך ה70 של קבוצת האימון חילקתי 20-80 כש20 לטובת קבוצת ולידציה (המשתנה מאפוק לאפוק),0
בחנתי כל פעם את ההיפרפרמטרים ולבסוף בחרתי את אלה שנתנו לי 60%...,0
השאלה אם גם הוקטור משקולות ההתחלתי נכלל בהיפרפרמטרים? הרי הוא לא תלוי בדאטא הוא רנדומלי לחלוטין...,0
הגעתי ל60% עם הpa... כשחילקתי את הדאטא ל70-30,0
אני תקוע על 57, אבל צריכים לעבור את ה60,0
בהיפרפרמטרים שתשלחו לבדיקה אתם שולחים גם את הוקטור משקולות ההתחלתי נכון?,0
מישהו הצליח לעבור את ה- 60% ב- pa?,0
אם הw שלהם הוא 0 זה מתעלם מהם בעצם,0
אז אם צריך להתעלם הלמידה תגלה את זה,0
לא בטוח בכלל שהדאטה מופרד,0
מישהו ניסה להתעלם אגב מחלק מהפיצ'רים?,0
אותו סט אימון שלנו אבל TEST אחר שלהם כן?,0
לא, הם מריצים על אותו סט אימון, רק הtest יהיה אחר,0
אה סבבה,0
אז הם יתנו דאטא שניתן להפריד,0
כי המטרה שלהם זה להפריד לגיל,0
שקיים מסווג לינארי שמפריד בין הדוגמאות החיוביות לדוגמאות השליליות,0
דאטה שניתן להפריד אותו לחלוטין למשל דוגמא פשוטה היא טבלת אמת של xor בדו מימד, אינה מופרדת לעומת and וor שכן,0
אם אפשר הוא מופרד לינארית,0
מה הכוונה בדאטא מופרד?,0
לא בטוח שהדאטה שנתנו לנו מופרד,0
אוקיי, אם הדאטה שלי מופרד, וזה לא מתכנס אצלי.. 
איפה הבעיה יכולה להיות? השתמשתי באותו האלגוריתם כמו שהם פרסמו..,0
אם הדאטא מופרד זה יתכנס,0
חובה שהערכים יתתכנסו ממספר איטרציות מסויים עבור פרמטרים זהים?,0
אני מתכוון לif else וזה,0
הם נתנו רק את הכלל עצמו,0
לpa זה אותו if של הפרספטרון?,0
בתרגיל עצמו,0
איפה יש את התנאים של הupdate rules שהם נתנו?,0
מישהו יודע איפה יש סיכום טוב של התרגולים?,0
זה כן,0
ה-epoch קובע כמה פעם אתה מבצע פרספטרןן על אותה תמונה, בשלב כלשהו ה-w כבר לא משתנה יותר ולכן אחוז השגיאה לא משתנה ומתכנס למספר קבוע,0
על אותה דוגמה**,0
סבבה. זה לא התכנסות...,0
אשכרה, תודהההה,0
שים לב שאתה לא צריך להשתמש בזה, יש אחד של multiclass למטה במצגת, זה של בינארי,0
האם y(t) כפול w  כפול x(t) אומר: מכפלה סקלרית של x כפול w במקום הy?,0
 לקוד עצמו. התוצאות חזרו על עצמם (מן הסתם...) וכך אני יותר בטוח שהמודל שלי עכשיו מאומן טוב על הדאטאטריין שהם יתנו לי,0
אתה עדיין רוצה לשמור על אחוז עקבי של שגיאה,0
