x?,1
הצבעת???,1
0/0 = 1,1
?,1
?,1
סבבה,1
99?,1
מה?,1
לא יודעת מה איתך אותי אפשר לקנות רק אם אתה אדם זר שיש לו תמונת פרופיל מהסצינת סקס של דמדומים והוא שולח לי הודעה רנדומלית כזו,1
לא יודעת מה איתך אותי אפשר לקנות רק אם אתה אדם זר שיש לו תמונת פרופיל מהסצינת סקס של דמדומים והוא שולח לי הודעה רנדומלית כזו,1
כמה הצבעות?,0
חחחחחחחחחחחחחחחחח אני מתנצלת אבל זה מצחיק,0
Nice,0
אני יודע,0
Hs,0
בינתיים זה ב-T-pose,0
אני פותח בוטים,0
כי זה עבד לביבי,0
בינתיים התשובות חצויות,0
כן,0
יצא לה הספיר פשוט,0
אתה לא יודע מה היתה הסיבה,0
Press f to doubt,0
נו היא לא התכוונה,0
רוב תודות,0
זה היה מסיבה מוצדקת והוא יודע את זה,0
זה ממש מצחיק,0
וזה לא היה מסיבה מוצדקת,0
חחחחחחחחחחחחחחח,0
והחזרתי אותך אחרכך,0
זה באמת באמת לא מצחיק,0
חחחחחחחחח,0
רק אותי,0
מסיבה מוצדקת.,0
הראשון,0
רק אותי,0
אז שקט,0
זה "דֵי כן" או "דָי, כן"?,0
אתם אמורים להיות בתרגן,0
בתרגןל,0
 אם מעיפים אותך פותחים קבוצה חדשה זה טריק קלאסי,0
לא מעיפים אף אחד,0
שש,0
תצביעו בהמוניכם כדי להשיג את החופש שלכם,0
אה אלך לממש את זכותי,0
עדיין פתוח למענה,0
https://docs.google.com/forms/d/e/1FAIpQLSeN1RlBUcpFWhdvIMybU60JJ6x3W3oUHrutRBOd8PUJEISZ3w/viewform?usp=sf_link,0
סיימתי לקרוא,0
דיליי,0
מה,0
זה לא עובד ככה,0
אני לא מצביע בסקר מטעמים אידאולוגיים,0
אני שם,0
בקיצור אורן ויובל,0
תספרי אותי כ״לא״,0
כל הלאות נוהרות לסקר,0
חחחחחחחחחחחח,0
בדיו2,0
אפשר עדכון?,0
זה מה שקורה כשמקשיבים בהרצאות
דיליי ענק,0
חחחחחחחחחחחח,0
חחחחחחחח,0
ששש... שלא ידעו,0
Y̶̛͜u̸̠̕v̴̹̻̓͂à̶̳̅l̴̨͌̀,0
הקריטריון השני הוריד את יעל מהחשודים,0
אבל מי הדיקטטןרית?,0
זה לא משנה, ספיר,0
כי אף אחד לא יודע מי היא,0
היא חכמה,0
היא יודעת להסוות את עצמה כאחת מאיתנו,0
בינתיים התוצאות מראות על 100% כן,0
רק כדי לנתץ אותה,0
זה לא הפתרון, יובל,0
מלחמה היא אף פעם לא הפתרון,0
אני מסית למרד לא-אלים,0
זה לא משנה, יובל,0
הם מדכאים אותנו,0
הם נותנים לנו את התקווה שיש לנו חופש,0
להסיר את הבעיה מהשורש,0
אני זורמת למרד כי משמעם לי,0
.,0
תצטרף למרד דניאל,0
זה אנונימי,0
.,0
https://docs.google.com/forms/d/e/1FAIpQLSeN1RlBUcpFWhdvIMybU60JJ6x3W3oUHrutRBOd8PUJEISZ3w/viewform?usp=sf_link,0
מי הדיקטטורית?,0
אבל מי שמצביע לא נכון, מחר הסקר יהיה עליו,0
והתוצאות שמורות אצל השלטון,0
אני מסית למרד,0
וואלה יש פה דיקטטורה סמויה,0
אני מרגיש דיקטטורה סמויה,0
כאילו מותר להצביע מה שרוצים,0
אזרחית למופת,0
תודה אני יודעת,0
רגע מה,0
פותח בסקר נגד כדי להעיף את יעל כי היא bully,0
מממשת את זכות ההצבעה שלי,0
מזל שיש דמוקרטיה,0
Oren,0
גולדי היה נמוך כשהוא התחיל את התואר,0
חוץ מזה אני יכולה לגדול,0
מהההה
אני גובה ממוצע,0
חוץ מזה אני יכולה לגדול,0
יותר כיף,0
גמדת גינה את לא תגיעי אליי גם אם תקפצי,0
יש הרבה יותר צפיות מתוצאות,0
יאללה מהרו,0
האורן שוורצים נוהרים לגוגל דוקס,0
אבוא עד אליך עכשיו
איפה שאתה מתחבא,0
גולדי
אני אעיף לך כאפה זהירות,0
זה אפילו לא הסטיקר ימשקיע,0
את גרועה גם במציאות,0
תראי
הוא הוואטצאפיסט הממוצע
לא הייתי אומרת שהוא גרוע כמוני,0
גולדיגולד,0
אבל דיברתי על הוואטסאפ,0
פאקינג ישו,0
ענבר את הכי גרועה פשוט וזהו,0
אני לא מכירה אותו אישית,0
ולכן נמנעת,0
כן אה,0
Doing my part,0
כוחה של הדמוקרטיה,0
https://docs.google.com/forms/d/e/1FAIpQLSe0wHULAmHn7NcgRGZ24kOUb6E-uW_Dh-tOHOYnqoY34uKqSQ/viewform?usp=sf_link
הצביעו והשפיעו,0
חושב אתה בחוף ים,0

הצביעו והשפיעו,0
Inbar,0
ענבר את הכי גרועה פשוט וזהו,0
אני מחכה לתשובה שלך
למי יותר גרועה
גם אני סקרנית,0
איפה התודה שמגיעה לי,0
רגע,0
היי היי
אני גרועה ממוצעת,0
מי יותר גרוע ממנה מי,0
לא מסכים,0
לא,0
זה דפוק,0
בפתקים,0
לפחות אני מיוחדת,0
 גרועה,0
במה אני אמור לסרוק לך,0
לא. לא לא לא לא לא לא לא לא!,0
את הדבר הכי גרוע שיש,0
אתה רואה יש יותר גרועים ממני,0
נועם יעקב,0
Inbar,0
אבל לא CamScanner,0
אני לא אוהב את החתימה שלהם,0
מה עובר על אמא שלך,0
חחחחחח,0
בסדר מקובל,0
מודלים,0
98,0
נו,0
אם אני אגיד את תכעסי,0
למה כמה קיבלת,0
אז לפחות תסרוק לי כדי שאוכל לערער,0
אני הבנתי,0

אני לא בא,0
אף אחד לא הבין אה?,0
חבל,0
אפשר גם בלי סכין אבל זה לא שווה,0
ליצן עם סכין,0
אתה תקבל פרס,0
אבל לא נראה בכלל,0
רגע מה?,0
לא נראה לי,0
הייתי בטוחה שהוא בגיל של סבא שלי,0
Inbar,0
צבאו בן 46,0
גולדי אם אתה בא תביא לי את הדף,0
גולדי בא להרוג אותי?,0
כמו שהבטיח,0
חחחח,0
האלה שהיו עם צבאן במחזור,0
עמית!!! אתה צריך להיות לטובתי!,0
תשלחי לו fat yoshi,0
ותקראי לו fat yoshi,0
נדב הדתי,0
אני בולי רק על יובל כי הוא מציק בכוונה,0
זו יעל מתאמנת על טריקים חדשים ל-bully,0
++,0
זה הרוח של הבוגרים שהיו פה,0
מי עזב?,0
מי עזב?,0
זו יעל מתאמנת על טריקים חדשים ל-bully,0
אני חושבת שיש שם ליצן עם סכין,0
אני חושבת שיש שם ליצן עם סכין,0
Iddo Eliyahu,0
יש כאן קול של סרט אימה והוא בא מהחלון וזה מוזר,0
אני לא חושב שאי פעם איחלתי למישהו חלומות פז,0
אני לא מספיק נחמד בשביל זה,0
ככה הוא מנסה לקנות בחורות,0
וואו
את קשה להשגה,0
תכירו זה יובל עזרא,0
האחד והיחיד,0
רגע אני חסום,0
מישהו רוצה?,0
רגע אני חסום,0
Iddo Eliyahu,0
שנייה,0
 מתי תפנימי שאת לא צריכה לדבר,0
חחחחחחחחח,0
כן נו די,0
גולדיגולד,0
עוד יותר גרוע,0
אתחתן,0
אתחתן*,0
This message was deleted,0
תחביר וזה,0
יתחתן,0
אני בסוף התחתן?,0
ואם אתה באמת רןצה לדעת אני עושה את הפרויקט של הבית ספר שלעוד יומיים,0
אני בסוף התחתן עם בראד פיט הבא וכולם תקנאו,0
והוא יביא לי ורד ושוקולדים מתי שארצה,0
כל חודש,0
וכל שבוע,0
חחחחח,0
דיייייי גולדי תראה מה חינכת אותו,0
מצד אחד אני מוחמא מצד שני אני יודע שזה רק בגלח שאתה רוצה טת השיעורי בית שלך ,0
++,0
העניין הוא שיש סיכוי מאוד גבוה שאני אעשה את זה אז זה לא אומר הרבה,0
אם היא בשרית,0
back at the cyberbully again,0
ושלך כמו השיר של ישראל, מקום רביעי,0
מהסוף,0
כמו השיר של סלובניה*,0
לאכול שווארמה זה אחלה,0
לגמרי כן,0
